performed_on,recorded_on,cts_field,batch_id,batch_name,cultivar_id,cultivar_name,growth_stage_id,growth_stage_name,work_order_id,work_order,work_order_type_id,work_order_type,work_order_opened_at,work_order_closed_at,total
2022-02-28 17:09:32,2022-02-28 17:09:35,Additions - Growth Stage,24430,Mango Merengue 2 2022-01-17,7907,Mango Merengue,662,Flowering,34849,Advance Growth Stage for Mango Merengue 2 2022-01-17,852,Advance Growth Stage,2022-02-28T17:09:32.925Z,2022-02-28T17:09:32.925Z,500
2022-03-28 18:31:38,2022-03-31 18:31:40,Reductions - Growth Stage,22162,Space Cake 1 - 2021/11/25,7869,Space Cake,662,Flowering,39243,Space Cake 1 - 2021/11/25 Harvest #1,430,Harvest,2022-03-28T18:25:54.719Z,2022-03-28T18:33:22.979Z,-425
2022-03-28 18:31:38,2022-03-31 18:31:40,Additions - Growth Stage,22162,Space Cake 1 - 2021/11/25,7869,Space Cake,570,Harvested,,,,,,,425
2022-03-31 18:17:44,2022-03-31 18:17:44,Additions - Growth Stage,27815,Orange Tingz,12710,Orange Tingz,569,Vegetative,39239,Orange Tingz Import from Next Wave,334,Plant Import,2022-03-31T18:11:16.820Z,2022-03-31T18:24:03.765Z,500
2022-03-31 18:17:44,2022-03-31 18:17:44,Additions - Plant Batch,27815,Orange Tingz,12710,Orange Tingz,569,Vegetative,39239,Orange Tingz Import from Next Wave,334,Plant Import,2022-03-31T18:11:16.820Z,2022-03-31T18:24:03.765Z,500
2022-04-27 20:40:22,2022-04-28 20:40:24,Reductions - Growth Stage,24430,Mango Merengue 2 2022-01-17,7907,Mango Merengue,662,Flowering,42614,Mango Merengue 2 2022-01-17 Harvest #1,430,Harvest,2022-04-27T20:40:13.265Z,,-489
2022-04-27 20:40:22,2022-04-28 20:40:24,Additions - Growth Stage,24430,Mango Merengue 2 2022-01-17,7907,Mango Merengue,570,Harvested,,,,,,,104
2022-04-27 20:40:22,2022-04-28 20:40:24,Additions - Growth Stage,24430,Mango Merengue 2 2022-01-17,7907,Mango Merengue,570,Harvested,,,,,,,385
2021-03-30 20:48:43.071078 +00:00,2021-03-17 20:48:40.000000 +00:00,WO - INPUT,7246,Blue Lime Pi 2,4493,Blue Lime PI,662,Flowering,4236,010820 BLP Harvest #1,430,Harvest,2021-03-17 20:47:49.000000 +00:00,2021-03-17 20:49:25.000000 +00:00,176
2021-07-02 17:24:03.719984 +00:00,2021-06-28 17:24:00.000000 +00:00,WO - INPUT,9697,BLP5 - 03/09/21,4494,Blue Lime Pi,662,Flowering,7892,BLP5 - 03/09/21  Harvest #1,430,Harvest,2021-06-28 17:23:23.000000 +00:00,2021-07-02 17:28:20.578000 +00:00,837
